FID,pointid,grid_code,reforest,recultivat,area,RASTERVALU,Longitude,Latitude,lu
388643,703464,361002,2,8,54900,0.549,1131890,2991401,0
388646,703469,360502,2,8,82800,0.828,965605,2991393,0
388647,703470,360982,2,8,89100,0.891,993385,2991355,0
388648,703471,360982,2,8,136800,1.368,1009015,2991424,0
388649,703472,360982,2,8,153900,1.539,1012483,2991456,0
388650,703473,361002,2,8,39600,0.396,1116005,2991326,0
388651,703474,361002,2,8,81000,0.81,1132653,2991336,0
388653,703477,360902,2,8,225000,2.25,918966,2991498,0
388654,703478,360502,2,8,40500,0.405,964898,2991266,0
388655,703479,360982,2,8,55800,0.558,994771,2991296,0
388656,703480,360982,2,8,108900,1.089,1024864,2991382,0
388657,703481,361024,2,8,22500,0.225,1090997,2991221,0
388659,703483,360824,2,8,113400,1.134,1018968,2991351,0
388660,703485,360982,2,8,44100,0.441,1006831,2991201,0
388661,703487,360922,2,8,76500,0.765,889760,2991248,0
388662,703488,360902,2,8,93600,0.936,919893,2991172,0
388664,703493,360982,2,8,54000,0.54,1001594,2991201,0
388666,703495,361024,2,8,33300,0.333,1073175,2991188,0
388667,703496,361024,2,8,36900,0.369,1096671,2991195,0
388668,703497,361002,2,8,90000,0.9,1119232,2991325,0
388673,703502,360502,2,8,29700,0.297,963414,2991120,0
388674,703503,360502,2,8,81900,0.819,969892,2991135,0
388675,703504,360502,2,8,57600,0.576,982554,2991210,0
388679,703511,360902,2,8,50400,0.504,934833,2991172,0
388680,703512,361024,2,8,47700,0.477,1071028,2991091,0
388681,703513,361002,2,8,61200,0.612,1118670,2991145,0
388682,703514,360922,2,8,89100,0.891,892825,2991089,0
388684,703516,360824,2,8,369000,3.69,1015367,2991311,0
388685,703517,360982,2,8,29700,0.297,1034860,2991029,0
388690,703531,360922,2,8,42300,0.423,886275,2991001,0
388691,703532,360902,2,8,34200,0.342,917414,2991008,0
388692,703533,360502,2,8,29700,0.297,960132,2990973,0
388693,703535,361002,2,8,33300,0.333,1114270,2991008,0
388694,703539,361024,2,8,41400,0.414,1090590,2990969,0
388695,703541,361002,2,8,72000,0.72,1134060,2990951,0
388696,703542,360922,2,8,53100,0.531,886675,2990874,0
388697,703543,360521,2,8,41400,0.414,937392,2990853,0
388698,703544,360982,2,8,101700,1.017,995282,2990967,0
388699,703545,360902,2,8,61200,0.612,923231,2990862,0
388700,703546,360502,2,8,25200,0.252,970478,2990845,0
388701,703547,360982,2,8,36900,0.369,1002511,2990819,0
388702,703548,360982,2,8,95400,0.954,1003804,2991019,0
388703,703549,361024,2,8,52200,0.522,1097009,2990861,0
388705,703553,360502,2,8,52200,0.522,979437,2990857,0
388706,703554,361002,2,8,67500,0.675,1113816,2990884,0
388709,703558,361024,2,8,43200,0.432,1097590,2990808,0
388712,703566,361024,2,8,144900,1.449,1098096,2990846,0
388713,703569,360902,2,8,27900,0.279,934686,2990689,0
388714,703570,360502,2,8,45000,0.45,962867,2990743,0
388715,703571,361024,2,8,27000,0.27,1075534,2990656,0
388719,703575,360502,2,8,73800,0.738,970833,2990710,0
388720,703576,360982,2,8,89100,0.891,992107,2990734,0
388721,703578,360982,2,8,53100,0.531,1006703,2990695,0
388723,703580,360521,2,8,137700,1.377,944908,2990814,0
388725,703582,360502,2,8,43200,0.432,972265,2990645,0
388726,703584,360982,2,8,62100,0.621,1011844,2990705,0
388730,703589,360521,2,8,23400,0.234,944065,2990590,0
388731,703591,360982,2,8,44100,0.441,1035327,2990592,0
388732,703592,361024,2,8,24300,0.243,1090829,2990601,0
388734,703595,360521,2,8,25200,0.252,951792,2990544,0
388735,703596,360502,2,8,73800,0.738,976140,2990670,0
388736,703600,360502,2,8,61200,0.612,986193,2990607,0
388737,703601,361002,2,8,45900,0.459,1134768,2990526,0
388739,703606,360824,2,8,135000,1.35,1019488,2990644,0
388740,703607,360981,2,8,120600,1.206,1052286,2990706,0
388743,703614,360521,2,8,92700,0.927,954239,2990524,0
388744,703615,360502,2,8,88200,0.882,980463,2990532,0
388745,703619,360902,2,8,20700,0.207,930507,2990504,0
388746,703620,360902,2,8,33300,0.333,934194,2990458,0
388747,703621,360521,2,8,46800,0.468,953410,2990502,0
388748,703622,360502,2,8,81000,0.81,970152,2990466,0
388750,703627,360521,2,8,97200,0.972,954956,2990455,0
388751,703628,360502,2,8,85500,0.855,966023,2990457,0
388752,703629,360502,2,8,52200,0.522,981059,2990477,0
388755,703634,360902,2,8,142200,1.422,880322,2990496,0
388756,703635,360521,2,8,83700,0.837,939098,2990422,0
388757,703636,360982,2,8,48600,0.486,998312,2990396,0
388758,703637,360982,2,8,49500,0.495,1034927,2990385,0
388759,703639,361028,2,8,63900,0.639,1156766,2990534,0
388761,703642,360902,2,8,20700,0.207,931739,2990332,0
388762,703643,360502,2,8,46800,0.468,966442,2990337,0
388763,703644,360902,2,8,59400,0.594,882373,2990361,0
388764,703645,360902,2,8,9900,0.099,930528,2990248,0
388766,703648,360502,2,8,107100,1.071,963712,2990358,0
388769,703652,360902,2,8,90000,0.9,931192,2990339,0
388770,703653,360521,2,8,44100,0.441,952384,2990330,0
388771,703656,360902,2,8,80100,0.801,882745,2990282,0
388772,703657,360502,2,8,42300,0.423,970967,2990222,0
388773,703658,360502,2,8,81000,0.81,984403,2990322,0
388774,703660,360982,2,8,50400,0.504,989269,2990268,0
388775,703661,361024,2,8,82800,0.828,1078359,2990284,0
388776,703662,361024,2,8,68400,0.684,1089600,2990275,0
388777,703663,361024,2,8,23400,0.234,1096990,2990173,0
388778,703664,361002,2,8,165600,1.656,1099138,2990422,0
388781,703667,360982,2,8,64800,0.648,999204,2990245,0
388783,703670,360824,2,8,143100,1.431,1013539,2990313,0
388784,703671,360521,2,8,72900,0.729,943233,2990204,0
388785,703675,360521,2,8,20700,0.207,953998,2990052,0
388786,703676,360502,2,8,40500,0.405,965952,2990107,0
388787,703677,360982,2,8,492300,4.923,991368,2990573,0
388788,703678,361024,2,8,38700,0.387,1090594,2990083,0
388792,703685,360521,2,8,27000,0.27,942498,2990047,0
388793,703686,360502,2,8,22500,0.225,962886,2990060,0
388794,703687,361024,2,8,36000,0.36,1088378,2990076,0
388795,703690,360982,2,8,307800,3.078,990275,2990389,0
388796,703691,360982,2,8,70200,0.702,994232,2990070,0
388800,703698,360502,2,8,42300,0.423,966589,2990030,0
388801,703699,360502,2,8,45000,0.45,966954,2990015,0
388802,703700,360982,2,8,45900,0.459,992736,2989991,0
388803,703701,360982,2,8,549000,5.49,1000615,2990696,0
388804,703702,360982,2,8,198000,1.98,1008338,2990175,0
388805,703704,360502,2,8,97200,0.972,982701,2990036,0
388806,703705,360982,2,8,401400,4.014,1001774,2990314,0
388807,703706,361024,2,8,41400,0.414,1078932,2990086,0
388808,703709,360521,2,8,65700,0.657,948636,2989936,0
388809,703710,360502,2,8,75600,0.756,979581,2989990,0
388810,703711,360982,2,8,177300,1.773,1003333,2990098,0
388813,703716,361002,2,8,48600,0.486,1122891,2989938,0
388815,703719,360902,2,8,230400,2.304,886302,2990173,0
388817,703721,361002,2,8,28800,0.288,1122180,2989843,0
388818,703722,361028,2,8,23400,0.234,1155657,2989818,0
388819,703724,360502,2,8,293400,2.934,967691,2990246,0
388820,703725,360824,2,8,46800,0.468,1022345,2989852,0
388822,703730,361024,2,8,46800,0.468,1075804,2989868,0
388824,703734,360902,2,8,29700,0.297,929087,2989857,0
388825,703735,360824,2,8,316800,3.168,1016404,2989987,0
388826,703736,361024,2,8,90000,0.9,1067750,2989841,0
